Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
51600006,no job,no job,no job,no job,no job,no job,no job,has job,has job
51600032,no job,no job,no job,no job,no job,no job,no job,no job,no job
51600042,no job,no job,no job,no job,no job,has job,has job,has job,has job
51600041,has job,has job,has job,has job,has job,has job,has job,has job,has job
51700002,no job,no job,no job,no job,no job,no job,no job,has job,has job
51700031,no job,no job,no job,no job,no job,has job,has job,has job,has job
51700032,no job,no job,no job,no job,no job,no job,no job,no job,has job
51800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
51800002,no job,has job,no job,no job,no job,no job,no job,has job,has job
51800006,no job,no job,no job,no job,no job,no job,no job,no job,has job
60100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
60100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
60200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
60200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
60200004,no job,no job,no job,no job,has job,has job,has job,has job,has job
60300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
60300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
60300031,has job,has job,has job,has job,has job,has job,has job,has job,has job
60300032,has job,has job,has job,has job,has job,has job,has job,has job,has job
60300041,no job,no job,no job,no job,has job,has job,has job,has job,has job
60400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
60400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
60400052,no job,no job,no job,has job,has job,has job,has job,has job,has job
60411001,no job,no job,no job,no job,no job,has job,has job,has job,has job
60431001,has job,has job,has job,has job,has job,has job,has job,has job,has job
60431002,no job,no job,no job,no job,no job,no job,has job,has job,has job
60600004,has job,has job,has job,has job,has job,has job,has job,has job,has job
60600005,has job,has job,no job,no job,no job,no job,no job,no job,no job
60700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
60700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
60700003,no job,no job,no job,no job,no job,no job,has job,has job,has job
60800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
60800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
60800031,has job,has job,has job,has job,has job,has job,has job,has job,has job
60800042,no job,no job,no job,no job,no job,no job,no job,no job,has job
60800041,no job,no job,no job,no job,has job,has job,has job,has job,has job
60900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
60900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
60900031,no job,no job,no job,no job,has job,has job,has job,has job,has job
61000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
61000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
61000031,has job,has job,has job,has job,has job,has job,has job,has job,has job
61000041,no job,no job,no job,no job,no job,has job,has job,has job,has job
61100001,has job,has job,has job,has job,no job,no job,no job,no job,no job
61100002,has job,has job,has job,has job,has job,has job,has job,no job,no job
61100051,no job,no job,no job,no job,has job,has job,has job,has job,no job
61131001,has job,has job,has job,has job,has job,has job,has job,has job,has job
61131002,no job,has job,has job,has job,no job,no job,no job,no job,no job
61200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
61200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
61300005,has job,has job,has job,has job,has job,has job,has job,has job,has job
61400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
61400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
61400042,no job,no job,no job,has job,has job,has job,has job,no job,no job
61400041,no job,has job,has job,has job,has job,has job,has job,has job,has job
61400051,no job,no job,no job,has job,has job,has job,has job,has job,has job
61400052,no job,no job,no job,no job,no job,no job,no job,no job,has job
61600001,has job,has job,has job,has job,has job,has job,has job,no job,no job
61600002,has job,has job,has job,has job,has job,has job,has job,no job,no job
61700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
61700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
61700031,has job,has job,has job,has job,has job,has job,has job,has job,has job
61800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
61800003,has job,has job,has job,has job,has job,has job,has job,has job,has job
61800005,has job,has job,has job,has job,has job,has job,has job,has job,has job
61900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
61900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
61900004,no job,no job,no job,no job,has job,has job,has job,no job,no job
62000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
62000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
62000041,no job,no job,no job,has job,has job,has job,has job,has job,has job
70100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
70100021,has job,has job,has job,has job,has job,has job,has job,has job,has job
70100022,no job,no job,no job,no job,has job,has job,has job,has job,has job
70300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
70300006,has job,has job,has job,has job,has job,has job,has job,has job,has job
70300007,no job,no job,no job,has job,has job,has job,has job,has job,has job
70331002,has job,has job,has job,has job,has job,has job,has job,has job,has job
70331001,has job,has job,has job,has job,has job,has job,has job,has job,has job
70400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
70400004,has job,has job,has job,has job,has job,has job,has job,has job,has job
70400007,has job,has job,has job,has job,has job,no job,has job,has job,has job
70500004,no job,has job,has job,has job,has job,has job,has job,has job,has job
70500031,no job,no job,no job,no job,has job,has job,has job,has job,has job
70500032,has job,has job,has job,has job,has job,has job,has job,has job,has job
70600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
70600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
70700002,has job,has job,has job,has job,has job,has job,has job,no job,no job
70721001,has job,has job,has job,has job,has job,has job,has job,has job,has job
70721002,no job,has job,has job,has job,has job,has job,has job,has job,has job
70800004,has job,has job,has job,has job,has job,has job,has job,has job,has job
70900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
70900005,has job,has job,has job,has job,has job,has job,has job,has job,has job
71000001,has job,has job,has job,has job,has job,no job,no job,no job,no job
71000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
71100003,has job,has job,has job,has job,has job,has job,has job,has job,has job
71100004,has job,has job,has job,has job,has job,has job,has job,has job,has job
71100005,has job,has job,has job,has job,has job,has job,has job,has job,has job
71200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
71300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
71300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
71400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
71400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
71431003,no job,no job,no job,no job,no job,no job,no job,no job,no job
71500002,has job,has job,has job,has job,has job,has job,has job,has job,has job
71500004,has job,has job,has job,has job,has job,has job,has job,has job,has job
71600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
71600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
71600006,no job,no job,no job,no job,no job,no job,no job,no job,has job
71800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
71800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
71800003,no job,no job,no job,has job,has job,has job,has job,has job,has job
71800045,no job,no job,no job,has job,has job,has job,has job,has job,has job
71800046,no job,no job,no job,no job,no job,no job,no job,no job,has job
71800042,has job,has job,has job,has job,no job,no job,no job,no job,no job
71800041,no job,no job,has job,has job,has job,has job,has job,has job,has job
71800061,no job,no job,has job,has job,has job,has job,has job,has job,has job
72000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
72000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
72000006,no job,no job,no job,no job,no job,no job,no job,no job,has job
72200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
72200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
72300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
72300004,no job,has job,has job,no job,has job,has job,has job,has job,has job
72300008,no job,no job,has job,has job,has job,has job,no job,no job,has job
72321003,no job,no job,has job,has job,has job,has job,has job,has job,has job
72321004,no job,no job,no job,no job,no job,no job,has job,has job,has job
72331001,has job,has job,has job,has job,has job,has job,has job,has job,has job
72331002,has job,has job,has job,has job,has job,has job,has job,has job,has job
72400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
72400003,no job,has job,has job,has job,has job,has job,has job,has job,has job
72400004,no job,no job,no job,no job,no job,no job,has job,has job,has job
72500004,has job,has job,has job,has job,has job,has job,has job,has job,has job
72500005,has job,has job,has job,has job,has job,has job,has job,has job,has job
72500021,has job,has job,has job,has job,has job,no job,has job,has job,has job
72500031,no job,no job,no job,no job,no job,no job,has job,has job,has job
72500032,no job,no job,no job,no job,has job,has job,has job,no job,no job
72600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
72600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
72600004,no job,no job,no job,no job,no job,no job,no job,has job,has job
72800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
72800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
72900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
72900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
73000003,no job,no job,no job,no job,no job,no job,has job,has job,has job
80100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
80100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
80100031,no job,no job,no job,no job,has job,has job,has job,has job,has job
80100032,no job,no job,no job,no job,no job,has job,has job,has job,has job
80100041,no job,no job,no job,no job,no job,no job,has job,has job,has job
80200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
80200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
80200041,has job,has job,has job,has job,has job,has job,has job,has job,has job
80200052,no job,no job,no job,no job,no job,no job,has job,has job,has job
80200051,has job,has job,has job,has job,has job,has job,has job,has job,has job
80300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
80300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
80300004,no job,no job,no job,no job,no job,no job,no job,no job,has job
80331002,no job,has job,has job,has job,has job,has job,has job,has job,6
80331003,no job,no job,no job,no job,no job,no job,no job,has job,6
80400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
80400002,no job,no job,no job,no job,no job,no job,no job,no job,has job
80400051,has job,has job,has job,has job,has job,has job,has job,has job,has job
80431001,has job,has job,has job,has job,has job,has job,has job,has job,has job
