Person,2007,2008,2009,2010,2011,2012,2013,2014
60600011,has job,has job,has job,has job,has job,has job,has job,has job
60600012,has job,has job,has job,has job,has job,has job,has job,has job
60600013,has job,has job,has job,has job,has job,has job,has job,has job
60600004,has job,has job,has job,has job,has job,has job,has job,6
60600005,has job,has job,has job,has job,has job,has job,has job,6
60600071,no job,no job,no job,no job,no job,no job,has job,has job
60700001,has job,has job,has job,has job,has job,has job,has job,has job
60700002,has job,has job,has job,has job,has job,has job,has job,has job
60700003,has job,has job,has job,has job,has job,has job,has job,has job
60700004,no job,no job,no job,no job,no job,no job,no job,has job
60800001,no job,no job,no job,no job,no job,no job,has job,6
60800002,has job,no job,no job,no job,no job,no job,no job,6
60842002,has job,has job,has job,has job,has job,has job,has job,6
60800005,has job,has job,has job,has job,has job,has job,has job,6
60800009,no job,no job,no job,no job,no job,no job,has job,6
60841001,has job,has job,has job,has job,has job,has job,has job,has job
60900001,has job,has job,has job,has job,has job,has job,has job,has job
60900002,has job,has job,has job,has job,has job,has job,has job,has job
60941002,has job,has job,has job,has job,has job,has job,has job,has job
60942001,no job,no job,no job,has job,has job,has job,has job,has job
60941001,has job,has job,has job,has job,has job,has job,has job,has job
60942002,no job,no job,no job,no job,has job,no job,no job,no job
60900041,no job,no job,no job,no job,no job,has job,no job,no job
61000012,has job,has job,has job,has job,has job,has job,has job,6
61000002,has job,has job,has job,has job,has job,has job,has job,has job
61041001,has job,has job,has job,has job,has job,has job,has job,has job
61042001,has job,has job,has job,has job,has job,has job,has job,has job
61000051,no job,no job,no job,no job,has job,has job,has job,has job
61000013,no job,no job,no job,no job,no job,no job,no job,has job
61041002,has job,has job,has job,has job,has job,has job,has job,has job
61100002,has job,no job,no job,no job,no job,no job,no job,no job
61131001,has job,has job,has job,has job,has job,has job,has job,has job
61141002,no job,no job,no job,no job,no job,has job,has job,has job
61100006,has job,has job,has job,has job,has job,has job,has job,has job
61100007,no job,no job,no job,no job,no job,has job,has job,has job
61100008,no job,no job,no job,has job,has job,has job,has job,has job
611000010,no job,no job,no job,no job,no job,no job,no job,no job
61131002,has job,has job,has job,has job,has job,has job,has job,has job
61141001,has job,has job,has job,has job,has job,has job,has job,has job
61200001,has job,has job,has job,has job,has job,has job,has job,6
61200002,no job,no job,no job,no job,no job,no job,no job,6
61231002,no job,no job,no job,has job,has job,has job,has job,has job
61200055,no job,no job,no job,no job,no job,has job,has job,has job
61200066,no job,no job,no job,no job,no job,no job,has job,has job
61231001,has job,has job,has job,has job,has job,has job,has job,has job
61200053,no job,no job,no job,no job,has job,no job,has job,has job
61200064,no job,no job,no job,no job,no job,no job,no job,has job
61300004,has job,has job,has job,has job,has job,has job,has job,has job
61300005,has job,has job,has job,has job,has job,has job,has job,has job
61400002,has job,has job,has job,has job,has job,has job,has job,6
61400031,has job,has job,has job,has job,has job,has job,has job,6
61441001,has job,has job,has job,has job,has job,has job,has job,has job
61442002,no job,no job,no job,has job,has job,has job,has job,has job
61400032,has job,has job,has job,has job,has job,no job,no job,6
61600005,no job,no job,no job,no job,no job,no job,no job,has job
61700001,has job,has job,has job,has job,has job,has job,has job,has job
61700002,has job,has job,has job,has job,has job,has job,has job,has job
61741001,has job,has job,has job,has job,has job,has job,has job,has job
61700006,no job,has job,has job,has job,has job,has job,has job,has job
61700008,no job,no job,no job,no job,no job,no job,has job,has job
61700051,no job,no job,has job,has job,has job,has job,has job,has job
61800003,has job,has job,has job,has job,has job,has job,has job,has job
61900001,has job,has job,has job,has job,has job,has job,has job,has job
61900002,has job,has job,has job,has job,has job,no job,no job,no job
61900042,no job,has job,has job,has job,has job,has job,has job,no job
61900005,no job,no job,no job,no job,no job,no job,no job,has job
61900008,no job,no job,has job,no job,has job,no job,no job,has job
61931003,no job,no job,no job,no job,no job,no job,has job,has job
61900041,has job,has job,has job,has job,has job,has job,has job,has job
62000001,no job,no job,no job,no job,no job,no job,no job,6
62000031,has job,has job,has job,has job,has job,has job,has job,has job
