hhid14_9,pid14,movenum,mg21bx,mg21cx,mg21dx,mg21ex,mg21e,mg21d,mg21c,mg21b,mg24x,mg24mth,mg24yr,mg25,mg26,mg27x,mg27,mg28,mg29,mg30,mg31,mg34a,mg34,mg35,mg36,mg39,mg40,hhid14,pidlink,version,module
049041100,3,2,3,3,3,3,62,16,74,22,1,1,2015,NA,3,1,480,2,NA,NA,1,NA,3,NA,,3,NA,0490411,049041103,1.3,B3A_MG2
049070000,6,1,3,3,3,3,62,16,74,32,1,6,2007,NA,1,1,2,95,NA,NA,NA,NA,1,2,AG,3,NA,0490700,049070006,1.3,B3A_MG2
049070000,7,1,3,3,3,3,62,16,74,32,1,5,2007,NA,5,1,2,4,NA,NA,NA,NA,3,NA,,1,NA,0490700,049070007,1.3,B3A_MG2
049070000,7,2,3,3,3,3,62,16,74,32,1,1,2014,NA,5,1,2,23,NA,NA,NA,NA,1,2,AG,3,NA,0490700,049070007,1.3,B3A_MG2
049080003,1,1,1,1,3,3,62,16,71,11,1,2,2008,NA,3,1,700,2,NA,NA,1,NA,3,NA,,1,NA,0490851,049080003,1.3,B3A_MG2
049080003,1,2,1,3,3,3,62,16,74,31,1,7,2009,NA,3,1,700,12,NA,NA,NA,NA,3,NA,,1,NA,0490851,049080003,1.3,B3A_MG2
049080003,1,3,3,3,3,3,62,16,74,11,1,12,2012,NA,3,1,12,4,NA,NA,NA,NA,3,NA,,3,NA,0490851,049080003,1.3,B3A_MG2
049080000,4,1,1,1,3,3,62,16,71,31,1,9,2009,NA,3,1,560,2,NA,NA,1,NA,3,NA,,1,NA,0490800,049080004,1.3,B3A_MG2
049080000,4,2,3,3,3,3,62,16,74,31,1,12,2013,NA,3,1,560,9,NA,NA,NA,NA,3,NA,,3,NA,0490800,049080004,1.3,B3A_MG2
049100003,1,1,3,3,3,3,62,13,11,11,1,98,2008,NA,1,1,300,23,NA,NA,NA,NA,3,NA,,3,NA,0491051,049100003,1.3,B3A_MG2
049102100,7,1,3,3,3,3,62,16,71,61,1,7,2011,NA,1,1,13,23,NA,NA,NA,NA,1,5,AG,3,NA,0491021,049100004,1.3,B3A_MG2
049100000,5,1,1,1,3,3,62,16,74,32,1,98,1989,NA,5,1,300,8,NA,NA,NA,NA,1,7,BCDE,1,NA,0491000,049100005,1.3,B3A_MG2
049100000,5,2,8,8,1,1,62,18,98,998,1,98,1994,NA,3,8,NA,8,NA,NA,NA,NA,1,4,BCDE,1,NA,0491000,049100005,1.3,B3A_MG2
049100000,5,3,1,1,1,3,62,13,11,10,1,98,2003,NA,1,8,NA,1,1,1,NA,NA,1,4,BCDE,1,NA,0491000,049100005,1.3,B3A_MG2
049100000,5,4,3,3,3,3,62,16,5,90,1,11,2010,NA,3,8,NA,1,1,1,NA,NA,1,4,BCG,3,NA,0491000,049100005,1.3,B3A_MG2
049100000,6,1,1,1,3,3,62,16,74,11,1,10,2007,NA,3,1,720,8,NA,NA,NA,NA,3,NA,,1,NA,0491000,049100006,1.3,B3A_MG2
049100000,6,2,3,3,3,3,62,16,5,90,1,2,2010,NA,1,1,60,12,NA,NA,NA,NA,3,NA,,3,NA,0491000,049100006,1.3,B3A_MG2
049100000,8,1,1,1,3,3,62,16,74,12,1,98,2013,NA,3,1,60,2,NA,NA,1,NA,3,NA,,1,NA,0491000,049100008,1.3,B3A_MG2
049100000,8,2,3,3,3,3,62,16,5,90,1,11,2014,NA,1,1,60,9,NA,NA,NA,NA,3,NA,,3,NA,0491000,049100008,1.3,B3A_MG2
049102100,8,1,3,3,3,3,62,16,71,61,1,7,2012,NA,3,1,20,23,NA,NA,NA,NA,1,5,ADE,3,NA,0491021,049102110,1.3,B3A_MG2
049102100,9,1,3,3,3,3,62,16,71,61,1,7,2011,NA,1,1,20,8,NA,NA,NA,NA,1,5,BCDE,3,NA,0491021,049102111,1.3,B3A_MG2
049120000,3,1,1,1,1,3,62,32,11,10,1,8,2002,NA,3,1,1400,2,NA,NA,1,NA,3,NA,,1,NA,0491200,049120003,1.3,B3A_MG2
