Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
121800006,no job,no job,,,,no job,no job,no job,6
121831002,,,,,,,,,6
121831001,,,,,,,,,6
121900001,,,no job,no job,no job,no job,no job,,6
121900008,no job,no job,no job,no job,no job,,,no job,6
121900042,,,,,,,,,6
121900041,,,,,,,,,6
121931002,no job,no job,no job,no job,no job,no job,no job,,
130200001,,,,,,,,,6
130200042,no job,no job,no job,,no job,no job,no job,,
130400001,,,,,,,,,6
130400002,no job,no job,no job,no job,no job,no job,no job,,6
130500001,,,,,,,,,6
130500002,no job,,,,,,,,6
130500005,no job,no job,no job,no job,,,,,6
130500042,,,,,,,,,6
130500041,,,,,,,,,6
130531001,,,,,,,,,6
130600002,no job,no job,no job,no job,no job,,,,
130700001,,,,,,,,,6
130700002,,,,,,,,,6
130700003,,,,,,,,,6
130700004,,,,,,,,,6
130700005,no job,no job,no job,no job,no job,no job,,,6
130800042,no job,,,,,,,no job,no job
130900001,,,,,,,,,6
130900002,,,,,,,,,6
130900051,no job,,,,,,,,6
130900052,,,no job,no job,no job,no job,no job,no job,6
131100006,no job,no job,no job,no job,no job,no job,no job,,
131200002,no job,no job,no job,no job,no job,no job,,no job,no job
131400002,no job,no job,,,,no job,no job,no job,no job
131400006,no job,no job,no job,,,,,,no job
131400045,no job,,,,,,,,
131400051,no job,no job,no job,,,,,,
131400052,,,,,,,,no job,
131500002,no job,no job,no job,,,,,,
131500003,no job,no job,no job,no job,no job,,,no job,no job
131600042,no job,no job,,,,,,,
131700001,no job,no job,no job,no job,,,,,
131900001,no job,no job,no job,no job,no job,no job,,,6
131900031,,,no job,,,,,,
131900032,no job,no job,no job,no job,no job,no job,,,
140100006,no job,no job,no job,,,,,,
140200002,no job,no job,,,,,,,
140200032,no job,no job,no job,no job,no job,no job,no job,no job,
140300007,no job,no job,no job,no job,no job,no job,no job,no job,
1403000010,no job,no job,no job,no job,no job,,,,
140300032,no job,,,,,,,,
140400001,,,,,,,no job,no job,no job
140800004,no job,no job,no job,no job,,,,,
141000003,no job,,,,no job,no job,no job,,
141100006,no job,,,,,,,,
141400052,no job,no job,no job,,,,,,
141400071,no job,,,,,,,,
141400083,no job,no job,no job,no job,no job,no job,no job,no job,
141431002,,,no job,no job,no job,no job,no job,no job,no job
1417000017,no job,no job,no job,no job,,,,,
141700032,no job,no job,no job,no job,no job,no job,no job,,
141700031,no job,no job,no job,,,,,,
141800003,no job,no job,,,,,,,
141800041,no job,no job,no job,no job,no job,no job,no job,no job,
141831002,no job,no job,no job,no job,no job,no job,,,
141900005,no job,no job,no job,no job,no job,no job,no job,,
150400001,,,no job,no job,no job,no job,no job,no job,no job
150431001,,no job,,,,,,,
150500052,no job,no job,,,,,,,
150700002,no job,,,,,,,,
150700004,no job,no job,no job,no job,no job,no job,no job,no job,
150700009,no job,no job,no job,,,no job,,,
1508000015,,,,no job,no job,no job,,no job,
150800131,no job,no job,no job,no job,no job,no job,no job,,
150831003,no job,no job,no job,no job,,,,,
151000032,,,,,,no job,,,
151100002,no job,,,,,,,,
151100004,no job,no job,no job,no job,no job,,,no job,
151100032,no job,no job,no job,no job,no job,no job,no job,no job,
151400002,no job,no job,,,,,,,
151600003,no job,no job,,,,,,,
151600007,no job,no job,no job,no job,no job,no job,no job,,
151600009,no job,no job,no job,no job,,,,,
151600042,,,,,no job,no job,no job,no job,no job
151931003,no job,,,,,,,,
151931006,,,,,,no job,,,
151932001,no job,no job,no job,no job,no job,no job,,,
152000006,no job,no job,no job,no job,no job,no job,no job,,
152000007,no job,no job,no job,no job,no job,no job,no job,,
152000032,,,no job,no job,,,,,
152011002,no job,no job,no job,,,,,,
160121001,,,,,,no job,no job,no job,no job
160400002,,,,,,,,no job,no job
160400071,no job,no job,,,,,,,
160400072,no job,,,,no job,no job,no job,,
160500005,no job,no job,no job,no job,no job,,,,
160700031,no job,,,,,,,,
161321001,,,,,,,,no job,
161321002,no job,no job,no job,no job,,,,,
161322003,no job,,,,,,,,
161322004,no job,no job,no job,no job,no job,,,,
161322005,no job,no job,no job,no job,,,,,
161322006,no job,no job,no job,no job,no job,no job,no job,no job,
161322007,no job,no job,no job,no job,no job,no job,,,
161431002,no job,no job,no job,no job,no job,no job,no job,no job,
1616000010,no job,no job,no job,no job,no job,no job,,,
161600032,no job,no job,no job,,,,,,
161600042,,,,,,,,no job,no job
161631004,no job,no job,no job,no job,no job,no job,no job,no job,
161800003,no job,no job,no job,no job,no job,,,,
161800004,no job,no job,no job,no job,no job,no job,,,
161900004,,,,,,no job,,,
161900008,no job,no job,no job,no job,no job,no job,no job,,
164100042,no job,,,,,,,,
164100041,no job,,no job,,,,,,
170321002,no job,no job,no job,no job,no job,no job,no job,no job,no job
170400001,no job,no job,no job,no job,no job,no job,no job,,
170400007,,,,,,no job,no job,no job,
170431009,no job,no job,no job,no job,no job,no job,no job,no job,
170432002,,no job,no job,no job,no job,no job,no job,no job,
170500004,no job,no job,no job,no job,no job,,,,no job
170600032,no job,no job,no job,no job,no job,no job,no job,,
170700001,,,no job,no job,no job,no job,no job,no job,no job
170700005,no job,no job,no job,no job,no job,,,,
170700064,no job,no job,no job,no job,no job,no job,no job,no job,
170721001,no job,no job,no job,no job,,no job,no job,,
170800054,no job,no job,no job,no job,,,,,
170900002,no job,no job,,,,,,,
170900003,no job,no job,,,no job,no job,no job,no job,no job
170900004,no job,no job,no job,no job,no job,no job,no job,,no job
171200002,no job,no job,no job,no job,no job,no job,,,
171200005,no job,no job,no job,no job,no job,no job,no job,,
171200041,,,no job,,,,,,
171300062,no job,no job,,,no job,no job,no job,no job,no job
171300092,no job,no job,no job,no job,no job,,,,no job
171321003,no job,no job,,,,,,,
171321005,no job,no job,no job,no job,no job,no job,no job,,
171500001,,,,,no job,no job,no job,,
171600005,no job,no job,no job,no job,no job,no job,no job,no job,
171600009,no job,no job,no job,no job,no job,no job,no job,,
1716000010,no job,no job,no job,no job,no job,no job,no job,no job,
171600042,no job,no job,no job,no job,no job,no job,no job,no job,
171600071,no job,no job,no job,no job,,,no job,,
171731002,no job,no job,no job,no job,no job,no job,no job,no job,
171800065,no job,no job,no job,no job,no job,,,,
171900051,no job,,,,,no job,,,
172000003,no job,no job,no job,,,,,,
172000004,no job,no job,no job,no job,no job,,,,
180200001,,,,,no job,no job,no job,no job,
180200005,no job,no job,no job,no job,no job,,no job,,
180200006,no job,no job,no job,no job,no job,,,,
180200007,no job,no job,no job,no job,no job,no job,no job,,
180300005,no job,no job,no job,,,,,,
180400002,no job,no job,no job,no job,no job,no job,no job,no job,
