Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
330800008,has job,has job,has job,has job,has job,has job,has job,has job,has job
330900051,has job,has job,has job,has job,has job,has job,has job,has job,has job
331100002,,,,,,,,,has job
331100032,has job,has job,has job,has job,has job,has job,has job,has job,has job
331200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
331200005,,,,,,,has job,,
331200031,,,has job,has job,,has job,has job,has job,has job
331200032,,,,has job,has job,,,,
331400005,has job,has job,has job,has job,has job,has job,has job,,has job
331400022,,,,has job,,,,has job,has job
331600006,,,,,,,has job,,
331800003,has job,has job,has job,has job,has job,has job,has job,has job,has job
331800051,has job,has job,has job,has job,has job,has job,has job,has job,has job
332100005,,,,,,,,has job,
332100042,,,has job,has job,has job,has job,has job,has job,has job
332200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
332200003,has job,has job,has job,has job,has job,has job,has job,has job,has job
332200004,has job,has job,has job,has job,has job,has job,has job,has job,has job
332200005,,,,,,,has job,,has job
332200006,has job,has job,has job,has job,has job,has job,has job,has job,has job
332300007,,,,,has job,has job,has job,has job,has job
332400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
332600005,,,,,has job,,,,
332700004,has job,has job,has job,has job,has job,has job,has job,has job,
332700051,has job,has job,has job,has job,has job,has job,has job,has job,has job
332800004,,,,,,,has job,,
333000005,,,,,,,has job,has job,has job
333000042,,,,,has job,,,,
333000062,,,has job,has job,has job,has job,has job,has job,has job
333000092,,,has job,,,,,,has job
333000091,has job,,has job,,has job,has job,has job,has job,has job
333011002,,,,has job,has job,has job,has job,has job,has job
340100042,,has job,has job,has job,has job,,,,
3402000010,has job,has job,has job,has job,has job,has job,has job,has job,has job
340300002,,has job,has job,has job,has job,has job,has job,has job,has job
340300031,has job,has job,has job,has job,has job,has job,has job,has job,has job
340331001,,,,,,,has job,has job,has job
340400002,,,,,,,,,has job
340400007,,,,,,,,,has job
340400052,,,,has job,has job,has job,has job,,
340400051,has job,has job,,has job,has job,has job,has job,has job,has job
340500003,,,,,,,has job,,
340500004,,,,,,,,,has job
340700022,has job,has job,has job,has job,has job,has job,has job,has job,has job
340800002,,has job,has job,has job,has job,has job,has job,has job,has job
341000002,,,,has job,has job,has job,has job,has job,has job
341000006,has job,has job,has job,has job,has job,,,has job,has job
341000052,,,,,,,,has job,has job
341000071,,,has job,has job,has job,has job,has job,has job,has job
341031002,,,,has job,has job,has job,has job,has job,has job
