Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
441511004,,,,,,has job,,has job,has job
441600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
441700001,has job,has job,has job,has job,has job,has job,,,
441700004,has job,has job,has job,has job,has job,has job,has job,has job,
441731002,has job,has job,,has job,has job,,,,
441831001,has job,has job,has job,has job,has job,has job,has job,has job,has job
441900007,,,,,,,,,has job
441921001,has job,has job,has job,has job,has job,has job,has job,has job,has job
442300042,,has job,has job,,,,,,
442500006,,,,has job,has job,has job,,has job,has job
442500012,,,,has job,has job,has job,has job,has job,has job
442631001,has job,has job,has job,has job,has job,has job,has job,has job,has job
443000072,has job,has job,has job,has job,has job,has job,has job,has job,has job
450300001,has job,has job,,,,,,,
450300004,,,,,,,,,has job
450600031,has job,has job,has job,has job,has job,has job,has job,has job,has job
450631002,,,,,,,,has job,
451000041,has job,has job,has job,has job,has job,has job,has job,has job,has job
451100002,has job,has job,has job,has job,has job,,,,
451100003,has job,has job,has job,has job,has job,has job,,,
4511000011,has job,has job,has job,has job,has job,has job,has job,has job,has job
451831001,,,,,has job,has job,has job,has job,has job
452100003,has job,has job,has job,has job,has job,has job,has job,has job,has job
452400036,has job,has job,has job,has job,has job,has job,has job,has job,has job
452700006,,,,,,,,,has job
452900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
453000007,,,,,has job,has job,has job,has job,has job
460100038,,,,,has job,has job,has job,,
460200041,,,,,,,,has job,has job
460500006,,,,,,,,has job,has job
461600005,,,,,,has job,has job,has job,has job
470100062,,,,,,,has job,has job,has job
471000003,,,,,,,,has job,has job
471700041,has job,has job,has job,has job,has job,has job,has job,has job,has job
472300041,,has job,has job,has job,has job,has job,has job,has job,has job
472300042,has job,has job,has job,has job,has job,has job,has job,has job,has job
480100044,,,,,,has job,,,
481000004,,has job,has job,has job,has job,has job,has job,has job,
481200051,,,,has job,has job,has job,has job,has job,has job
481211004,,,,,has job,has job,has job,has job,has job
490100001,has job,has job,has job,has job,has job,has job,has job,has job,
490111003,has job,has job,has job,has job,has job,has job,has job,,
490700031,has job,has job,has job,has job,has job,has job,has job,has job,has job
491400072,,,,,,has job,has job,has job,has job
491600001,has job,has job,has job,has job,has job,has job,has job,has job,
491700031,has job,has job,has job,has job,has job,has job,has job,has job,has job
491700061,,,,,has job,has job,has job,has job,has job
491700071,,,,,,,,has job,has job
491900071,,,,,,has job,has job,has job,
500100011,has job,has job,has job,has job,has job,has job,has job,has job,has job
500200041,has job,has job,has job,has job,has job,has job,has job,has job,
500400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
500400003,has job,has job,has job,has job,has job,,,,
500400041,has job,has job,has job,has job,has job,has job,has job,has job,has job
500600006,has job,has job,has job,has job,has job,has job,has job,has job,has job
500700001,has job,has job,has job,has job,has job,has job,has job,has job,
500800008,,,,,,has job,has job,has job,
501000001,has job,has job,has job,has job,,,,,
501100001,has job,has job,has job,has job,has job,has job,has job,,
501100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
5014000015,has job,,has job,has job,has job,has job,has job,has job,has job
504300005,has job,has job,has job,has job,has job,has job,has job,has job,has job
510100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
510700006,,,,,has job,has job,has job,,
510732002,has job,has job,has job,has job,has job,has job,has job,has job,has job
511100005,,has job,has job,has job,has job,has job,has job,has job,has job
511700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
511800031,has job,has job,has job,has job,has job,has job,has job,has job,has job
520100051,,,,,,,,has job,has job
5205000010,,,,has job,has job,has job,has job,has job,has job
520900003,has job,has job,has job,has job,has job,has job,has job,has job,
521000052,,has job,has job,has job,has job,,,,
521300002,,has job,has job,has job,has job,has job,has job,has job,has job
521900005,,has job,has job,has job,has job,has job,has job,has job,has job
530500006,,,,,,has job,has job,has job,
531231001,has job,has job,has job,has job,has job,has job,has job,has job,
531500003,,,,,,,has job,has job,has job
531500042,,,,,,has job,has job,has job,has job
531500041,has job,has job,has job,has job,has job,has job,has job,has job,has job
531600031,has job,has job,has job,has job,has job,has job,has job,has job,has job
531600032,has job,has job,has job,has job,has job,,,,
531800031,,,,,,,,has job,has job
5320000011,,,,,has job,has job,has job,has job,
540100001,has job,has job,has job,has job,has job,has job,,,
540400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
540431001,has job,has job,has job,has job,has job,has job,has job,has job,has job
540500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
541300001,has job,has job,has job,has job,,,,,
541700051,,,,,has job,has job,has job,has job,has job
541800031,has job,has job,has job,has job,has job,has job,has job,has job,has job
541931001,,,,,,,,has job,has job
542000021,,,,,has job,has job,has job,has job,has job
551100007,,,,,,,has job,has job,has job
551100008,,,,,,,has job,,has job
551200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
560300004,has job,has job,has job,has job,has job,has job,has job,has job,has job
560300032,has job,has job,has job,has job,has job,has job,,has job,has job
560400042,,,,,,,,,has job
560400051,,,,,,,,,has job
560500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
560600032,,,,,,,,has job,has job
560800005,,,,,,has job,has job,has job,has job
560800032,,,,,,,has job,has job,has job
561200091,,,,,,,,has job,has job
561400062,,,,has job,has job,,has job,has job,has job
561400072,,has job,,,,,,,
561700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
570500031,has job,has job,has job,has job,has job,has job,,,
571331004,has job,has job,has job,has job,has job,has job,has job,has job,has job
571700031,has job,has job,,,,,,,
580400037,,has job,has job,has job,has job,has job,has job,has job,has job
580900041,has job,has job,has job,has job,has job,has job,has job,has job,has job
581200004,has job,has job,has job,has job,has job,has job,has job,has job,has job
581200006,has job,has job,has job,has job,has job,has job,has job,has job,has job
581600007,,,,has job,has job,has job,,,
581700006,has job,has job,has job,has job,has job,has job,has job,has job,has job
581900041,has job,has job,has job,has job,has job,has job,has job,has job,has job
590100032,,,,,,has job,has job,has job,has job
590600091,has job,has job,has job,has job,has job,has job,has job,has job,has job
590800062,has job,has job,has job,has job,has job,has job,has job,has job,has job
591600004,,,,has job,has job,has job,has job,has job,has job
591600006,,,,,has job,has job,has job,has job,has job
592200007,,,has job,has job,has job,has job,has job,has job,has job
592200009,,,,,,,has job,has job,has job
592200051,,,has job,has job,has job,has job,has job,has job,has job
592200052,,,,,,has job,has job,has job,has job
600500006,,,,,,has job,has job,has job,has job
600700052,,,,,,,has job,has job,has job
600900021,has job,has job,has job,has job,has job,has job,has job,has job,has job
601900005,,,,,,,,has job,has job
602300062,,,,,has job,has job,,,
602800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
610300041,,,,,has job,has job,has job,has job,has job
610331001,has job,has job,has job,has job,has job,has job,has job,has job,has job
610600006,has job,has job,has job,has job,has job,has job,has job,has job,has job
611200004,,,,,,,,has job,has job
