Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
1230500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1230500005,,,,,has job,has job,has job,has job,has job
1230500006,,,has job,has job,has job,has job,has job,has job,has job
1230800051,has job,has job,has job,has job,has job,has job,has job,has job,has job
1230831001,,,has job,has job,has job,has job,has job,has job,has job
1230900005,has job,has job,has job,has job,has job,has job,has job,has job,has job
1230900076,,,,has job,has job,has job,has job,has job,has job
1230932003,,has job,has job,has job,has job,has job,has job,has job,has job
1231000007,,,,,has job,has job,has job,has job,has job
1231000051,has job,has job,has job,has job,has job,has job,has job,has job,has job
1231400003,has job,has job,has job,has job,has job,has job,has job,has job,has job
1231500001,,,,,has job,has job,has job,has job,has job
1231700051,has job,has job,has job,has job,has job,has job,has job,has job,has job
1232000005,,,,,has job,has job,has job,has job,has job
1240400111,has job,has job,has job,has job,has job,has job,has job,has job,has job
1241900091,,has job,has job,has job,has job,has job,has job,has job,has job
1260100006,,,,,,,,has job,has job
1260300006,,has job,has job,,,has job,has job,has job,has job
1260500003,has job,has job,has job,has job,has job,has job,has job,has job,has job
1260800007,,,,,,,has job,has job,has job
1260900008,has job,has job,has job,has job,has job,has job,has job,has job,has job
12609000011,has job,has job,has job,has job,has job,has job,has job,has job,
1260900021,has job,has job,has job,has job,has job,has job,has job,has job,has job
1260900022,has job,has job,has job,has job,has job,has job,has job,has job,has job
1260931001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1261200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1261211007,has job,has job,has job,has job,has job,has job,has job,has job,
1261231002,has job,has job,has job,has job,has job,has job,has job,has job,has job
1261611001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1261831001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1270900041,,,,,,has job,has job,has job,
1271800008,has job,has job,has job,has job,has job,has job,has job,has job,
1272000001,has job,has job,has job,has job,has job,has job,has job,has job,
1280311004,,,,,has job,has job,has job,has job,
1280400003,has job,has job,has job,has job,has job,has job,has job,has job,
1282000001,has job,has job,has job,has job,has job,has job,has job,has job,
1290200002,,,,,,,has job,has job,
1290200005,,has job,has job,has job,has job,has job,,,
1290600001,has job,has job,has job,has job,has job,has job,has job,has job,
1290611001,has job,has job,has job,has job,has job,has job,has job,has job,
1290800001,has job,has job,has job,has job,has job,has job,has job,has job,
1300900003,,,,,,,,has job,has job
1310800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1310900004,,,,,,,,,has job
1311000061,,,,,,has job,has job,has job,has job
1311121001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1311122001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1311200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1311400021,has job,has job,has job,has job,has job,has job,has job,has job,has job
1311700008,has job,has job,has job,has job,has job,has job,has job,has job,has job
1321100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1330532001,has job,has job,has job,,has job,has job,has job,,has job
1330800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1331000003,,has job,has job,has job,has job,has job,has job,has job,has job
1331331001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1331500004,has job,has job,has job,has job,has job,has job,has job,has job,has job
1331600031,,,,,,has job,has job,has job,has job
1331900011,has job,has job,has job,has job,has job,has job,has job,has job,has job
1331900013,,,,,,,,,has job
1360500041,has job,has job,has job,has job,has job,has job,has job,has job,has job
1362500005,,,,,,has job,has job,has job,has job
1362700005,has job,has job,has job,has job,has job,has job,has job,has job,has job
1372600036,has job,has job,has job,has job,has job,has job,has job,has job,has job
1391000071,,,,,has job,has job,has job,has job,has job
1391700003,,,,,,,,has job,has job
1392000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1401300002,has job,,,,,,,,
1401600005,,,,,,has job,has job,has job,has job
1410531001,has job,,,,,has job,has job,has job,
1411400071,,,,has job,has job,has job,has job,has job,
1412300031,,,has job,has job,,,,,
1412331006,has job,has job,has job,has job,has job,has job,has job,has job,
1420100007,,,,,has job,has job,has job,has job,
1420600041,has job,has job,has job,has job,has job,has job,has job,has job,
1420900044,has job,has job,has job,has job,has job,,,has job,
1421331001,has job,,has job,has job,has job,has job,has job,has job,
14215310010,has job,has job,has job,has job,has job,has job,has job,has job,
1421800001,has job,has job,has job,has job,has job,has job,has job,has job,
1422100061,has job,has job,has job,has job,has job,has job,has job,has job,
1431700001,has job,has job,has job,has job,has job,has job,has job,has job,
1432600006,has job,has job,has job,has job,has job,has job,has job,has job,
1440331002,,,,,,,,,has job
1440900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1452900003,,,,,,has job,has job,,has job
1460400031,has job,has job,has job,has job,has job,has job,has job,has job,has job
1461521001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1471200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1491531001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1521900001,has job,has job,,,,,,,
1530700043,,,,has job,has job,has job,has job,has job,
1530800001,has job,has job,has job,has job,has job,has job,,has job,
1531000051,has job,has job,has job,has job,has job,has job,has job,has job,
1531500051,has job,has job,has job,has job,has job,has job,has job,has job,
1531531001,has job,has job,has job,has job,has job,has job,has job,has job,
1531700021,,,,,,,,has job,
1531700041,has job,has job,has job,has job,has job,has job,has job,has job,
1540100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1540100051,,,has job,has job,has job,has job,has job,has job,has job
1541931001,,has job,has job,has job,has job,has job,has job,has job,has job
1570700006,,,,,,,,,has job
1571100061,,,,has job,has job,has job,has job,has job,has job
1571100071,,has job,has job,has job,has job,has job,has job,has job,has job
1580300005,,,,,,has job,has job,has job,has job
15803000010,,,,,,,,,has job
1580500051,has job,has job,has job,has job,has job,has job,has job,has job,has job
1590300005,,,,,,,,,has job
1591000007,has job,has job,has job,has job,has job,has job,has job,has job,has job
1591000111,has job,has job,has job,has job,has job,has job,has job,has job,has job
1591300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1591731001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1592100061,has job,has job,has job,has job,has job,has job,has job,has job,has job
1600600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
1600600007,,,,,,,has job,has job,has job
1601000001,,,,,,,,,has job
1601000004,has job,has job,has job,has job,has job,has job,has job,has job,has job
1601231001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1610800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1611200001,has job,has job,has job,has job,has job,has job,has job,,has job
1611200005,,,,,,,has job,has job,has job
1611400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1611500005,has job,has job,,,,,,,
1611700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1611700003,,,,,has job,has job,has job,has job,has job
1620100005,has job,has job,has job,has job,has job,has job,has job,has job,has job
1620700008,has job,has job,has job,has job,has job,has job,has job,has job,has job
1621200006,has job,has job,has job,has job,has job,has job,has job,has job,has job
1621400111,has job,has job,has job,has job,has job,has job,has job,has job,has job
1621600004,,,has job,has job,has job,has job,has job,has job,has job
1630300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1630400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1630800003,has job,has job,has job,has job,has job,has job,has job,has job,has job
