hhid_pid,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
003094100-1,NA,NA,NA,NA,NA,NA,NA,NA,998 - 75 - 12 - 62,998 - 75 - 12 - 62,998 - 75 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62
003094100-2,NA,NA,NA,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62,30 - 4 - 12 - 62
003104200-2,NA,NA,NA,NA,NA,NA,NA,10 - 77 - 12 - 62,10 - 77 - 12 - 62,10 - 77 - 12 - 62,10 - 77 - 12 - 62,10 - 77 - 12 - 62,10 - 77 - 12 - 62,10 - 77 - 12 - 62,10 - 77 - 12 - 62
003110003-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 20 - 12 - 62,30 - 20 - 12 - 62,30 - 20 - 12 - 62,30 - 20 - 12 - 62
003110003-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 75 - 12 - 62,30 - 20 - 12 - 62,30 - 20 - 12 - 62,30 - 20 - 12 - 62,30 - 20 - 12 - 62,30 - 20 - 12 - 62
003124100-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 77 - 12 - 62,30 - 20 - 12 - 62,30 - 20 - 12 - 62,30 - 20 - 12 - 62,30 - 20 - 12 - 62
003124200-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 77 - 12 - 62,60 - 71 - 34 - 62,60 - 71 - 34 - 62,60 - 71 - 34 - 62,60 - 71 - 34 - 62,60 - 71 - 34 - 62
003130000-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 75 - 12 - 62,50 - 77 - 12 - 62
003134100-5,NA,NA,110 - 3 - 12 - 62,110 - 3 - 12 - 62,110 - 3 - 12 - 62,110 - 3 - 12 - 62,110 - 3 - 12 - 62,110 - 3 - 12 - 62,50 - 75 - 12 - 62,50 - 75 - 12 - 62,50 - 75 - 12 - 62,50 - 75 - 12 - 62,50 - 75 - 12 - 62,50 - 75 - 12 - 62,50 - 75 - 12 - 62
003150003-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 77 - 12 - 62
003150003-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 - 77 - 12 - 62,10 - 77 - 12 - 62,10 - 77 - 12 - 62,10 - 77 - 12 - 62,30 - 77 - 12 - 62
003170000-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003170006-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
003180000-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 - 71 - 31 - 62,10 - 71 - 31 - 62,50 - 77 - 12 - 62
003180005-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
003183100-2,NA,NA,NA,NA,NA,NA,NA,NA,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
003183100-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
003184200-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62
003184200-2,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62,10 - 71 - 31 - 62
003193100-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62
003193100-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 77 - 12 - 62,50 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62
003200004-1,30 - 71 - 13 - 62,30 - 71 - 13 - 62,30 - 71 - 13 - 62,30 - 71 - 13 - 62,51 - 71 - 21 - 62,50 - 77 - 12 - 62,40 - 77 - 12 - 62,40 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,40 - 77 - 12 - 62,40 - 77 - 12 - 62,40 - 77 - 12 - 62
003243206-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70 - 3 - 12 - 62
003244100-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 75 - 12 - 62,30 - 75 - 12 - 62,998 - 3 - 12 - 62,998 - 3 - 12 - 62,998 - 3 - 12 - 62
003244100-2,NA,NA,NA,NA,NA,24 - 5 - 14 - 62,24 - 5 - 14 - 62,50 - 77 - 12 - 62,24 - 5 - 14 - 62,24 - 5 - 14 - 62,30 - 75 - 12 - 62,30 - 75 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,20 - 71 - 15 - 62
003260000-9,20 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,110 - 3 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
003260004-1,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 0,50 - 77 - 12 - 62,998 - 71 - 14 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62
003260004-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90 - 3 - 12 - 62,90 - 3 - 12 - 62,20 - 77 - 12 - 62,20 - 77 - 12 - 62
003260005-1,NA,NA,NA,NA,NA,NA,NA,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62
003260005-2,NA,NA,NA,NA,NA,NA,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62,70 - 3 - 12 - 62
