2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,hhid_pid
,NA,NA,12,12,12,12,12,12,12,12,12,12,12,12,50442001
51 - 7 - 14 - 62,14,14,14,14,14,14,14,14,14,14,14,14,14,14,50500002
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,50600032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,12,12,50641001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,12,12,12,50641002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,509000015
,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,14,50900052
,12,12,12,14,14,14,14,14,14,14,14,14,14,14,50900101
,NA,NA,NA,NA,NA,31,31,31,31,31,31,31,31,31,51000005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,51041001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51100004
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,51100008
30 - 22 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,51111001
30 - 22 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,51111002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,513000012
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,51300081
,NA,12,12,12,12,12,12,12,12,12,12,12,12,12,51341006
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,51400074
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,51441001
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,51441002
10 - 22 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,51641001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,51641003
50 - 7 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,51700001
,NA,NA,NA,NA,NA,NA,NA,NA,31,12,12,64,12,12,51700004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,51741001
,NA,NA,12,12,12,12,12,12,12,12,12,12,12,12,51741003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,51800051
,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,51800052
50 - 7 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,52000001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,52000005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,52000006
50 - 7 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,52000031
,NA,NA,NA,NA,NA,NA,14,14,14,14,14,14,14,14,60100031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14,14,60100032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,60100041
,NA,NA,NA,NA,NA,NA,NA,NA,33,31,31,33,33,33,60300005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,33,60300007
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,60400001
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,60411001
998 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,60411002
998 - 9 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,60600011
91 - 9 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,60600012
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,60600013
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,60600071
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,60600072
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,60800009
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,60841001
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,60941001
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,60941002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,14,60942001
,NA,NA,NA,NA,NA,NA,NA,12,12,12,14,14,14,14,60942002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,61000012
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,61000013
,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,12,61000051
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,61041001
,NA,NA,12,12,12,12,12,12,12,12,12,12,12,12,61041002
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,14,14,14,61042001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,61100002
11 - 2 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,61100006
11 - 2 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,61100007
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,61141005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,61200055
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,61200066
,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,12,61231001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,61231003
90 - 16 - 32 - 62,32,12,12,12,12,12,12,12,12,12,12,12,12,12,61400031
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,61400032
,NA,NA,NA,NA,NA,NA,NA,36,36,36,36,36,36,36,61441001
,NA,NA,NA,NA,NA,NA,NA,NA,36,36,36,36,36,36,61441002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,61442002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,61600005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,61700001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,61700002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,61700006
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,61700008
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,61700051
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,61700052
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,61741001
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,61741002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,61900008
190 - 9 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,61900041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,61931002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,61931003
998 - 98 - 12 - 62,12,12,12,12,12,12,98,98,98,98,98,12,12,12,62000031
,21,21,12,12,12,12,12,12,12,98,98,98,12,12,62000032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,62041001
,12,12,12,12,12,12,12,12,12,12,12,12,12,12,62041002
100 - 9 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,70200001
,32,32,32,32,32,32,32,32,12,12,12,12,12,12,70300052
11 - 71 - 14 - 62,14,12,12,14,14,14,14,14,14,12,12,12,12,12,70400031
100 - 75 - 12 - 62,12,12,12,12,31,32,32,12,14,14,12,12,12,12,70400032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,70500004
998 - 14 - 32 - 62,32,12,12,12,12,12,12,12,12,12,12,12,12,12,70500006
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,70600051
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,21,12,70642001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,70800003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,70800005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,70800011
130 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,31,12,12,12,70800012
150 - 9 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,71200004
70 - 8 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,71200005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,98,98,71300005
,NA,NA,21,21,21,21,21,21,21,21,21,21,21,21,71300042
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,71300061
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,71411002
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,71431003
20 - 22 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,71431008
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,71500051
,NA,NA,NA,NA,NA,NA,NA,12,21,21,21,12,12,12,71600061
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,71600062
,12,12,12,21,21,21,21,12,12,12,12,12,12,12,71631001
60 - 2 - 21 - 62,21,21,21,21,21,21,21,12,12,12,12,12,12,12,71631007
,NA,NA,NA,NA,NA,NA,NA,NA,21,21,21,21,21,21,71641001
,NA,NA,NA,NA,NA,NA,NA,NA,14,12,12,12,12,12,71800005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,71800032
